Event,Division,game time,Date,Time,Field,Stage,Game Detail,Team,Country,Opponent,Opponent Country,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Att,Comm,Total
2022-WJUC,U20-M,22-08-11 09:00,2022-08-11,09:00,,,,AUT U20 Open,AUT,BEL U20 Open,BEL,,,,,,2,2,4,3,2,13
2022-WJUC,U20-M,22-08-11 15:00,2022-08-11,15:00,,,,GBR U20 Open,GBR,BEL U20 Open,BEL,,,,,,1,2,1,2,2,8
2022-WJUC,U20-M,22-08-12 13:00,2022-08-12,13:00,,,,AUT U20 Open,AUT,BEL U20 Open,BEL,,,,,,2,2,3,3,2,12
2022-WJUC,U20-M,22-08-07 09:00,2022-08-07,09:00,,,,NZL U20 Open,NZL,CAN U20 Open,CAN,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-07 13:00,2022-08-07,13:00,,,,CZE U20 Open,CZE,CAN U20 Open,CAN,,,,,,2,3,2,3,3,13
2022-WJUC,U20-M,22-08-08 13:00,2022-08-08,13:00,,,,ITA U20 Open,ITA,CAN U20 Open,CAN,,,,,,2,3,2,2,3,12
2022-WJUC,U20-M,22-08-09 11:00,2022-08-09,11:00,,,,BEL U20 Open,BEL,CAN U20 Open,CAN,,,,,,2,2,3,1,3,11
2022-WJUC,U20-M,22-08-09 17:00,2022-08-09,17:00,,,,POL U20 Open,POL,CAN U20 Open,CAN,,,,,,2,3,2,3,3,13
2022-WJUC,U20-M,22-08-10 13:00,2022-08-10,13:00,,,,FRA U20 Open,FRA,CAN U20 Open,CAN,,,,,,2,2,2,3,3,12
2022-WJUC,U20-M,22-08-11 09:00,2022-08-11,09:00,,,,USA U20 Open,USA,CAN U20 Open,CAN,,,,,,2,2,3,2,2,11
2022-WJUC,U20-M,22-08-12 11:00,2022-08-12,11:00,,,,FRA U20 Open,FRA,CAN U20 Open,CAN,,,,,,2,2,3,2,3,12
2022-WJUC,U20-M,22-08-12 17:00,2022-08-12,17:00,,,,ITA U20 Open,ITA,CAN U20 Open,CAN,,,,,,1,2,2,3,2,10
2022-WJUC,U20-M,22-08-07 11:00,2022-08-07,11:00,,,,FRA U20 Open,FRA,COL U20 Open,COL,,,,,,2,2,2,3,3,12
2022-WJUC,U20-M,22-08-07 17:00,2022-08-07,17:00,,,,USA U20 Open,USA,COL U20 Open,COL,,,,,,2,2,3,3,2,12
2022-WJUC,U20-M,22-08-08 11:00,2022-08-08,11:00,,,,AUT U20 Open,AUT,COL U20 Open,COL,,,,,,1,1,2,3,1,8
2022-WJUC,U20-M,22-08-08 17:00,2022-08-08,17:00,,,,GER U20 Open,GER,COL U20 Open,COL,,,,,,2,3,3,3,2,13
2022-WJUC,U20-M,22-08-09 13:00,2022-08-09,13:00,,,,GBR U20 Open,GBR,COL U20 Open,COL,,,,,,1,2,3,3,3,12
2022-WJUC,U20-M,22-08-10 13:00,2022-08-10,13:00,,,,BEL U20 Open,BEL,COL U20 Open,COL,,,,,,2,2,3,3,2,12
2022-WJUC,U20-M,22-08-11 09:00,2022-08-11,09:00,,,,NZL U20 Open,NZL,COL U20 Open,COL,,,,,,2,1,2,3,2,10
2022-WJUC,U20-M,22-08-11 15:00,2022-08-11,15:00,,,,ITA U20 Open,ITA,COL U20 Open,COL,,,,,,2,2,0,2,1,7
2022-WJUC,U20-M,22-08-12 13:00,2022-08-12,13:00,,,,NZL U20 Open,NZL,COL U20 Open,COL,,,,,,1,1,2,2,1,7
2022-WJUC,U20-M,22-08-07 09:00,2022-08-07,09:00,,,,ITA U20 Open,ITA,CZE U20 Open,CZE,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-07 13:00,2022-08-07,13:00,,,,CAN U20 Open,CAN,CZE U20 Open,CZE,,,,,,2,2,2,3,3,12
2022-WJUC,U20-M,22-08-08 13:00,2022-08-08,13:00,,,,POL U20 Open,POL,CZE U20 Open,CZE,,,,,,2,2,2,2,3,11
2022-WJUC,U20-M,22-08-09 11:00,2022-08-09,11:00,,,,NZL U20 Open,NZL,CZE U20 Open,CZE,,,,,,2,2,1,2,2,9
2022-WJUC,U20-M,22-08-09 17:00,2022-08-09,17:00,,,,BEL U20 Open,BEL,CZE U20 Open,CZE,,,,,,2,2,2,3,2,11
2022-WJUC,U20-M,22-08-10 09:00,2022-08-10,09:00,,,,GBR U20 Open,GBR,CZE U20 Open,CZE,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-10 15:00,2022-08-10,15:00,,,,GER U20 Open,GER,CZE U20 Open,CZE,,,,,,2,2,3,2,3,12
2022-WJUC,U20-M,22-08-12 13:00,2022-08-12,13:00,,,,POL U20 Open,POL,CZE U20 Open,CZE,,,,,,2,2,2,2,3,11
2022-WJUC,U20-M,22-08-07 11:00,2022-08-07,11:00,,,,COL U20 Open,COL,FRA U20 Open,FRA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-07 17:00,2022-08-07,17:00,,,,GBR U20 Open,GBR,FRA U20 Open,FRA,,,,,,2,2,2,3,2,11
2022-WJUC,U20-M,22-08-08 11:00,2022-08-08,11:00,,,,USA U20 Open,USA,FRA U20 Open,FRA,,,,,,2,1,2,3,2,10
2022-WJUC,U20-M,22-08-08 17:00,2022-08-08,17:00,,,,AUT U20 Open,AUT,FRA U20 Open,FRA,,,,,,1,1,2,2,3,9
2022-WJUC,U20-M,22-08-09 13:00,2022-08-09,13:00,,,,GER U20 Open,GER,FRA U20 Open,FRA,,,,,,2,3,1,2,2,10
2022-WJUC,U20-M,22-08-10 13:00,2022-08-10,13:00,,,,CAN U20 Open,CAN,FRA U20 Open,FRA,,,,,,2,1,2,2,2,9
2022-WJUC,U20-M,22-08-11 09:00,2022-08-11,09:00,,,,ITA U20 Open,ITA,FRA U20 Open,FRA,,,,,,2,2,1,2,2,9
2022-WJUC,U20-M,22-08-11 15:00,2022-08-11,15:00,,,,NZL U20 Open,NZL,FRA U20 Open,FRA,,,,,,1,2,2,3,2,10
2022-WJUC,U20-M,22-08-12 11:00,2022-08-12,11:00,,,,CAN U20 Open,CAN,FRA U20 Open,FRA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-13 09:00,2022-08-13,09:00,,,,USA U20 Open,USA,FRA U20 Open,FRA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-07 11:00,2022-08-07,11:00,,,,AUT U20 Open,AUT,GBR U20 Open,GBR,,,,,,2,1,3,2,3,11
2022-WJUC,U20-M,22-08-07 17:00,2022-08-07,17:00,,,,FRA U20 Open,FRA,GBR U20 Open,GBR,,,,,,3,1,2,2,2,10
2022-WJUC,U20-M,22-08-08 09:00,2022-08-08,09:00,,,,GER U20 Open,GER,GBR U20 Open,GBR,,,,,,2,1,1,2,1,7
2022-WJUC,U20-M,22-08-08 17:00,2022-08-08,17:00,,,,USA U20 Open,USA,GBR U20 Open,GBR,,,,,,2,1,2,2,2,9
2022-WJUC,U20-M,22-08-09 13:00,2022-08-09,13:00,,,,COL U20 Open,COL,GBR U20 Open,GBR,,,,,,2,1,2,2,1,8
2022-WJUC,U20-M,22-08-10 09:00,2022-08-10,09:00,,,,CZE U20 Open,CZE,GBR U20 Open,GBR,,,,,,2,2,1,1,2,8
